"Date","Price","Open","High","Low","Vol.","Change %"
"02-02-2026","24,865.95","24,796.50","24,941.85","24,680.40","199.55M","0.16%"
"01-02-2026","24,825.45","25,333.75","25,439.45","24,576.00","379.37M","-1.96%"
"30-01-2026","25,320.65","25,247.55","25,370.70","25,213.65","508.39M","-0.39%"
"29-01-2026","25,418.90","25,345.00","25,458.15","25,159.80","582.39M","0.30%"
"28-01-2026","25,342.75","25,258.85","25,372.10","25,187.65","574.90M","0.66%"
"27-01-2026","25,175.40","25,063.35","25,246.65","24,932.55","618.70M","0.51%"
"23-01-2026","25,048.65","25,344.60","25,347.95","25,025.30","393.94M","-0.95%"
"22-01-2026","25,289.90","25,344.15","25,435.75","25,168.50","486.40M","0.53%"
"21-01-2026","25,157.50","25,141.00","25,300.95","24,919.80","395.62M","-0.30%"
"20-01-2026","25,232.50","25,580.30","25,585.00","25,171.35","409.77M","-1.38%"
"19-01-2026","25,585.50","25,653.10","25,653.30","25,494.35","443.09M","-0.42%"
"16-01-2026","25,694.35","25,696.05","25,873.50","25,662.40","434.04M","0.11%"
"14-01-2026","25,665.60","25,648.55","25,791.75","25,603.95","393.13M","-0.26%"
"13-01-2026","25,732.30","25,897.35","25,899.80","25,603.30","339.54M","-0.22%"
"12-01-2026","25,790.25","25,669.05","25,813.15","25,473.40","275.76M","0.42%"
"09-01-2026","25,683.30","25,840.40","25,940.60","25,623.00","348.76M","-0.75%"
"08-01-2026","25,876.85","26,106.50","26,133.20","25,858.45","328.52M","-1.01%"
"07-01-2026","26,140.75","26,143.10","26,187.15","26,067.90","338.22M","-0.14%"
"06-01-2026","26,178.70","26,189.70","26,273.95","26,124.75","383.04M","-0.27%"
"05-01-2026","26,250.30","26,333.70","26,373.20","26,210.05","338.78M","-0.30%"
"02-01-2026","26,328.55","26,155.10","26,340.00","26,118.40","357.55M","0.70%"
